age,job,marital,education,default,balance,housing,loan,y
30,unemployed,married,primary,no,1787,no,no,no
33,services,married,secondary,no,4789,yes,yes,no
35,management,single,tertiary,no,1350,yes,no,no
30,management,married,tertiary,no,1476,yes,yes,no
59,bluecollar,married,secondary,no,0,yes,no,no
35,management,single,tertiary,no,747,no,no,no
36,selfemployed,married,tertiary,no,307,yes,no,no
39,technician,married,secondary,no,147,yes,no,no
41,entrepreneur,married,tertiary,no,221,yes,no,no
43,services,married,primary,no,88,yes,yes,no
39,services,married,secondary,no,9374,yes,no,no
43,admin.,married,secondary,no,264,yes,no,no
36,technician,married,tertiary,no,1109,no,no,no
20,student,single,secondary,no,502,no,no,yes
31,bluecollar,married,secondary,no,360,yes,yes,no
40,management,married,tertiary,no,194,no,yes,no
56,technician,married,secondary,no,4073,no,no,no
37,admin.,single,tertiary,no,2317,yes,no,no
25,bluecollar,single,primary,no,221,yes,no,no
31,services,married,secondary,no,132,no,no,no
38,management,divorced,unknown,no,0,yes,no,no
42,management,divorced,tertiary,no,16,no,no,no
44,services,single,secondary,no,106,no,no,no
44,entrepreneur,married,secondary,no,93,no,no,no
26,housemaid,married,tertiary,no,543,no,no,no
41,management,married,tertiary,no,5883,no,no,no
55,bluecollar,married,primary,no,627,yes,no,no
67,retired,married,unknown,no,696,no,no,no
56,selfemployed,married,secondary,no,784,no,yes,no
53,admin.,married,secondary,no,105,no,yes,no
68,retired,divorced,secondary,no,4189,no,no,yes
31,technician,married,secondary,no,171,no,no,no
59,management,married,secondary,no,42,no,no,no
32,management,single,tertiary,no,2536,yes,no,yes
49,technician,married,tertiary,no,1235,no,no,yes
42,admin.,divorced,secondary,no,1811,yes,no,no
78,retired,divorced,primary,no,229,no,no,yes
32,bluecollar,married,secondary,no,2089,yes,no,yes
33,management,married,secondary,no,3935,yes,no,yes
23,services,single,tertiary,no,363,yes,no,no
38,management,single,tertiary,no,11971,yes,no,no
36,management,single,tertiary,no,553,no,no,no
52,bluecollar,married,secondary,no,1117,yes,no,no
32,technician,married,tertiary,no,396,yes,no,no
32,technician,single,tertiary,no,2204,yes,no,no
34,management,single,tertiary,no,872,yes,no,no
55,bluecollar,married,primary,no,145,no,no,no
26,bluecollar,married,primary,no,0,yes,no,no
32,entrepreneur,single,primary,yes,849,yes,yes,no
61,admin.,married,unknown,no,4629,yes,no,yes
45,bluecollar,divorced,primary,no,844,no,no,yes
37,technician,single,secondary,no,228,yes,no,no
38,technician,single,secondary,no,50,no,no,no
34,technician,married,tertiary,no,1539,yes,no,yes
53,bluecollar,married,secondary,no,2231,yes,no,no
48,admin.,married,secondary,no,3064,yes,no,no
57,management,married,secondary,no,82,no,yes,no
33,selfemployed,single,tertiary,no,2155,no,no,no
36,retired,single,secondary,no,101,yes,yes,no
54,technician,divorced,secondary,no,784,yes,yes,no
41,bluecollar,married,primary,no,516,no,yes,no
63,retired,married,secondary,no,415,yes,no,no
48,management,married,tertiary,no,5887,no,no,no
48,services,married,secondary,no,1355,no,no,no
56,admin.,married,secondary,no,16873,no,no,no
51,bluecollar,divorced,secondary,no,203,yes,no,no
31,services,married,secondary,no,338,yes,no,no
29,technician,married,secondary,no,444,yes,no,no
41,management,married,secondary,no,0,no,yes,no
32,technician,single,tertiary,no,360,no,no,no
37,management,married,tertiary,no,0,no,no,yes
42,entrepreneur,divorced,tertiary,yes,2,yes,no,no
31,management,single,tertiary,no,6248,yes,no,no
41,services,married,tertiary,no,412,yes,no,no
56,retired,married,secondary,no,344,yes,no,no
54,management,divorced,tertiary,no,3222,no,no,no
41,bluecollar,divorced,secondary,no,174,yes,no,no
40,technician,single,secondary,no,591,no,yes,no
50,bluecollar,divorced,primary,no,388,no,no,no
40,unemployed,married,secondary,no,219,yes,no,no
27,admin.,divorced,secondary,no,451,yes,no,yes
60,retired,married,primary,no,5,no,no,no
28,admin.,single,secondary,no,177,yes,yes,no
52,services,married,secondary,no,657,no,no,yes
37,management,married,tertiary,no,1315,no,no,yes
51,bluecollar,married,primary,no,1466,yes,no,no
41,technician,single,secondary,no,879,no,yes,no
35,bluecollar,single,primary,no,293,yes,no,no
38,admin.,married,secondary,no,424,yes,no,no
34,bluecollar,married,secondary,no,1831,yes,no,no
39,bluecollar,married,primary,no,111,no,no,no
34,bluecollar,married,primary,no,455,yes,no,no
27,services,single,secondary,no,195,yes,no,yes
32,management,single,tertiary,no,3616,no,no,no
57,bluecollar,married,secondary,no,14093,no,no,no
41,unknown,single,tertiary,no,1567,no,no,no
41,admin.,married,tertiary,no,5426,yes,no,no
30,admin.,single,tertiary,no,261,no,no,no
36,bluecollar,divorced,secondary,no,2843,no,no,no
31,unemployed,single,primary,no,406,no,no,yes
36,bluecollar,married,secondary,no,0,yes,no,no
38,management,single,tertiary,no,493,yes,no,no
49,technician,married,secondary,no,5996,no,no,no
57,services,single,primary,no,3777,yes,no,no
34,management,single,secondary,no,524,no,no,no
32,management,single,tertiary,no,574,yes,no,no
37,bluecollar,married,secondary,no,427,yes,yes,no
33,selfemployed,married,tertiary,no,483,yes,no,no
56,unemployed,married,primary,no,3391,no,no,yes
27,housemaid,married,primary,no,0,yes,no,no
21,student,single,secondary,no,2488,no,no,yes
58,management,married,tertiary,no,1517,yes,no,no
32,selfemployed,married,secondary,no,217,yes,yes,no
33,bluecollar,single,secondary,no,22,no,no,no
25,student,single,secondary,no,331,no,no,yes
25,technician,single,secondary,no,505,no,yes,yes
30,services,married,secondary,no,1808,yes,no,no
22,admin.,single,secondary,no,4111,no,yes,no
39,bluecollar,married,primary,no,52,no,no,no
46,management,divorced,tertiary,no,25,no,no,no
31,admin.,divorced,secondary,no,1890,yes,no,no
45,bluecollar,married,primary,no,419,no,no,no
32,technician,married,secondary,no,2693,yes,no,no
36,bluecollar,married,secondary,no,231,no,yes,no
51,management,single,tertiary,yes,55,yes,no,no
34,selfemployed,single,tertiary,no,462,no,no,yes
24,unemployed,single,secondary,no,119,no,no,no
45,technician,single,secondary,no,586,no,yes,no
32,bluecollar,single,secondary,no,228,no,no,no
77,retired,divorced,tertiary,no,4659,no,no,yes
41,bluecollar,married,primary,no,168,yes,no,no
37,bluecollar,married,primary,no,0,yes,no,no
43,bluecollar,married,unknown,yes,715,yes,no,no
48,admin.,married,unknown,no,0,yes,no,no
27,technician,single,secondary,no,769,yes,no,no
33,management,single,tertiary,no,0,no,no,no
29,admin.,single,secondary,no,428,yes,yes,no
34,management,single,tertiary,no,0,no,no,no
52,management,married,tertiary,no,970,yes,no,yes
60,management,married,unknown,no,6313,no,no,no
32,management,divorced,tertiary,no,948,no,no,no
32,management,single,tertiary,no,0,yes,no,no
56,services,divorced,unknown,no,1877,yes,no,no
31,management,single,tertiary,no,874,yes,no,no
42,admin.,married,secondary,no,323,yes,yes,no
35,management,married,tertiary,no,106,no,yes,no
56,retired,married,primary,no,1906,no,yes,no
48,technician,married,secondary,no,1152,yes,no,no
